 n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, data_channel_is_lifestyle, data_channel_is_entertainment, data_channel_is_bus, data_channel_is_socmed, data_channel_is_tech, data_channel_is_world, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, weekday_is_monday, weekday_is_tuesday, weekday_is_wednesday, weekday_is_thursday, weekday_is_friday, weekday_is_saturday, weekday_is_sunday, is_weekend, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares
12.0,836.0,0.441320292859,0.999999997877,0.615711251347,7.0,2.0,1.0,0.0,4.66028708134,5.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,693.0,326.118,6500.0,843300.0,313400.0,1862.125,3530.69970914,2685.28592149,2300.0,12800.0,7550.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.240290595555,0.0400014617481,0.440033035166,0.239477468433,0.0401974390976,0.483511131725,0.0127922077922,0.0179425837321,0.0167464114833,0.51724137931,0.48275862069,0.276590909091,0.0625,0.5,-0.220535714286,-0.5,-0.1,1.0,0.0,0.5,0.0,2300
12.0,1267.0,0.502034173717,0.999999998779,0.67277167195,41.0,19.0,12.0,0.0,4.85635359116,10.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,484.0,334.714285714,0.0,37400.0,12910.0,0.0,3721.04545455,1888.39166949,555.0,42500.0,5079.21052632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0203126087588,0.0203367834942,0.0200622892221,0.91928610542,0.0200022131052,0.570251937984,0.159399224806,0.0426203630624,0.0189423835833,0.692307692308,0.307692307692,0.569907407407,0.1,1.0,-0.352777777778,-1.0,-0.05,0.75,-0.1,0.25,0.1,3400
8.0,230.0,0.609649120133,0.999999992908,0.780141838439,5.0,2.0,1.0,0.0,4.90869565217,5.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,515.0,127.0,9600.0,843300.0,214860.0,1512.96875,3580.3178439,2440.58842502,458.0,56500.0,28479.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23858266949,0.0400007289488,0.641277499591,0.0400004100997,0.0401386918709,0.488807189542,-0.0829248366013,0.0173913043478,0.0347826086957,0.333333333333,0.666666666667,0.253125,0.0625,0.375,-0.302777777778,-0.5,-0.1,0.666666666667,-0.333333333333,0.166666666667,0.333333333333,1100
12.0,375.0,0.530898874913,0.999999995575,0.632743360032,8.0,2.0,2.0,0.0,4.56,10.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,728.0,137.875,0.0,843300.0,331040.0,0.0,5954.47368421,3280.94700797,867.0,1000.0,933.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200018381646,0.0202845067536,0.111376809457,0.82833629742,0.0200005482053,0.434215167549,0.0946208112875,0.0106666666667,0.00266666666667,0.8,0.2,0.258928571429,0.1,0.4,-0.155555555556,-0.155555555556,-0.155555555556,0.0,0.0,0.5,0.0,1600
10.0,330.0,0.598765430251,0.999999995098,0.749999996324,6.0,3.0,2.0,0.0,4.88787878788,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,296.0,73.25,19100.0,843300.0,399400.0,1964.53668763,3457.07976519,2719.573678,1200.0,3000.0,2100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.799993931802,0.0500000860975,0.0500047645387,0.0500011491646,0.0500000683974,0.346003401361,0.104443027211,0.0242424242424,0.0151515151515,0.615384615385,0.384615384615,0.4390625,0.0625,1.0,-0.117619047619,-0.2,-0.05,0.0,0.0,0.5,0.0,1400
8.0,579.0,0.528673834178,0.999999997199,0.652661062598,13.0,3.0,2.0,0.0,4.83937823834,7.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1100.0,178.714285714,27800.0,843300.0,377385.714286,2100.26152482,7675.0,3802.12013952,27800.0,27800.0,27800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219603522805,0.0285831661959,0.522689305148,0.199786898243,0.0293371076072,0.492117180205,0.172640056022,0.0328151986183,0.0120898100173,0.730769230769,0.269230769231,0.414285714286,0.1,1.0,-0.29880952381,-0.625,-0.166666666667,1.0,1.0,0.5,1.0,1500
12.0,205.0,0.609756094587,0.999999991667,0.774999993542,6.0,5.0,1.0,0.0,4.7756097561,6.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,932.0,180.5,2000.0,843300.0,316400.0,1223.25,5091.26136364,3133.86859768,1100.0,2700.0,1675.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53331578887,0.366344712198,0.0333334867533,0.033625702084,0.0333803100946,0.551609848485,0.0934343434343,0.0146341463415,0.00975609756098,0.6,0.4,0.378787878788,0.136363636364,0.6,-0.219444444444,-0.388888888889,-0.05,0.0,0.0,0.5,0.0,959
13.0,172.0,0.694610774284,0.999999990196,0.862745089581,2.0,1.0,1.0,2.0,4.4476744186,7.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1500.0,257.833333333,0.0,843300.0,284742.857143,0.0,5846.96373494,2691.98203408,2500.0,2500.0,2500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165522263957,0.606395937588,0.0285739706345,0.170934593233,0.0285732345875,0.50931372549,0.0553921568627,0.0639534883721,0.0290697674419,0.6875,0.3125,0.282575757576,0.1,0.5,-0.373333333333,-0.5,-0.166666666667,0.575,0.0166666666667,0.075,0.0166666666667,4000
12.0,299.0,0.547297295448,0.999999994318,0.687499996094,2.0,2.0,1.0,0.0,4.79264214047,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,150.0,50.1966666667,0.0,843300.0,407450.0,0.0,3462.61583463,2265.83396886,6800.0,9900.0,8350.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.799981926551,0.0500069582387,0.0500040630674,0.0500040679598,0.050002984183,0.438541666667,0.209943181818,0.0468227424749,0.0,1.0,0.0,0.383116883117,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1000
11.0,334.0,0.557575755886,0.999999995098,0.6911764672,4.0,3.0,1.0,0.0,4.8622754491,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,515.0,209.8,861.0,843300.0,224872.2,603.75,3288.27654512,2139.73932484,1300.0,1300.0,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0400006558549,0.839893532145,0.0400006211655,0.0401047862906,0.0400004045436,0.567451298701,0.153733766234,0.0538922155689,0.0149700598802,0.782608695652,0.217391304348,0.338215488215,0.136363636364,0.8,-0.28,-0.4,-0.05,0.5,0.136363636364,0.0,0.136363636364,821
12.0,253.0,0.700819669259,0.999999994286,0.788571424065,13.0,4.0,2.0,0.0,5.05928853755,10.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,759.0,212.4,1500.0,843300.0,299760.0,1002.0,5776.04221028,3149.71116712,1300.0,4500.0,2433.33333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0200009610197,0.159845160342,0.419088921617,0.380449849334,0.0206151076873,0.390303030303,0.143257575758,0.0276679841897,0.00790513833992,0.777777777778,0.222222222222,0.405194805195,0.05,0.7,-0.34375,-0.5,-0.1875,0.0,0.0,0.5,0.0,3100
10.0,337.0,0.478915661208,0.99999999505,0.6138613831,5.0,3.0,2.0,0.0,4.49258160237,8.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,731.0,309.098333333,0.0,843300.0,205487.5,0.0,3573.41644676,1714.61347372,1100.0,13800.0,7450.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.899985099604,0.025001348189,0.0250109035917,0.0250004342182,0.0250022143972,0.445612648221,0.277328722003,0.0504451038576,0.00593471810089,0.894736842105,0.105263157895,0.402660427807,0.0625,0.8,-0.233333333333,-0.3,-0.166666666667,0.5,0.4,0.0,0.4,1300
9.0,515.0,0.539961012593,0.999999996753,0.724025971675,7.0,4.0,1.0,1.0,4.82524271845,8.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,522.0,154.333333333,0.0,843300.0,285837.5,0.0,3697.48359375,2267.72598934,2300.0,83300.0,42800.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0250690126287,0.0250469030666,0.027329420671,0.0250277553097,0.897526908324,0.485094850949,0.131775067751,0.0368932038835,0.0155339805825,0.703703703704,0.296296296296,0.408552631579,0.0625,1.0,-0.184548611111,-0.4,-0.05,0.7,-0.4,0.2,0.4,1200
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,530.0,140.655714286,13700.0,843300.0,527957.142857,3415.70689385,6755.09593162,4910.61003237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0285716578744,0.266991961649,0.028571543005,0.647293315594,0.0285715218784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7900
12.0,261.0,0.640926638452,0.99999999359,0.782051277038,15.0,4.0,9.0,1.0,5.01915708812,8.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,390.0,155.285714286,0.0,843300.0,265175.0,0.0,6532.52849741,3550.23837306,2000.0,2000.0,2000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633021705269,0.161496412969,0.0250013311921,0.155422911805,0.0250576387646,0.51295995671,0.158441558442,0.0536398467433,0.0153256704981,0.777777777778,0.222222222222,0.45854978355,0.0333333333333,0.8,-0.495833333333,-1.0,-0.15,1.0,-0.5,0.5,0.5,471
8.0,776.0,0.484563757739,0.999999997619,0.692857141207,40.0,6.0,28.0,0.0,4.1043814433,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2100.0,702.4,2500.0,690400.0,286800.0,1950.0,11275.0,5205.39903975,2000.0,52900.0,27450.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0400007741675,0.0400435065796,0.0402897331937,0.440099882748,0.439566103311,0.541580866581,0.0618323680824,0.0399484536082,0.034793814433,0.534482758621,0.465517241379,0.424078341014,0.1,0.8,-0.314969135802,-0.6,-0.05,0.0,0.0,0.5,0.0,1500
14.0,136.0,0.713235288873,0.999999987805,0.817073160767,2.0,1.0,0.0,2.0,4.06617647059,4.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.59,-0.136666666667,0.0,843300.0,556025.0,0.0,5435.99074615,3062.25828177,2300.0,2300.0,2300.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.799605984236,0.0500036615604,0.0503867960117,0.0500021487298,0.0500014094622,0.41,0.18,0.0147058823529,0.0,1.0,0.0,0.45,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,16900
8.0,515.0,0.568588468054,0.999999997126,0.701149423273,12.0,0.0,1.0,0.0,5.13980582524,10.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,807.0,455.7,1200.0,690400.0,290740.0,950.25,5372.1125,2686.87124621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.919999635387,0.0200001189944,0.0200001913902,0.0200000199236,0.0200000343047,0.367970401691,0.261980267794,0.052427184466,0.00582524271845,0.9,0.1,0.459820426487,0.0333333333333,1.0,-0.316666666667,-0.6,-0.1,0.5,0.5,0.0,0.5,392
11.0,246.0,0.595833330851,0.99999999359,0.717948713346,8.0,3.0,1.0,0.0,5.04471544715,5.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,469.0,192.918,5100.0,843300.0,430200.0,1174.35185185,4339.6557377,3028.16136302,697.0,56500.0,28598.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.360970368659,0.0400611470649,0.0400007129211,0.0403189666137,0.518648804741,0.430681818182,0.112784090909,0.0121951219512,0.00813008130081,0.6,0.4,0.575757575758,0.227272727273,1.0,-0.4125,-0.7,-0.125,0.0,0.0,0.5,0.0,1900
