model_name,brand,processor_name,ram,ssd,OperatingSystem,screen_size,no_of_cores
Lenovo IdeaPad Slim 3 82RK0062IN Laptop,Lenovo,12th Gen Core i5,8,512,Windows,15.6,10
MSI Thin GF63 11SC-852IN Gaming Laptop,MSI,11th Gen Core i7,8,512,Windows,15.6,8
Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop,Asus,12th Gen Core i7,16,1000,Windows,17.3,10
Nokia PureBook S14 NKi511TL165S Laptop,Nokia,11th Gen Core i5,16,512,Windows,14.1,4
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,8,512,Windows,14,4
Acer Aspire 3 A315-24 Laptop,Acer,Ryzen 5 7520U,8,512,Windows,15.6,4
HP 14s-dq2649TU Laptop,HP,11th Gen Core i3,8,512,Windows,14,2
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,Samsung,12th Gen Core i5,8,512,Windows,15.6,10
Samsung Galaxy Book 3 Pro NP960XFG-KC1IN Laptop,Samsung,13th Gen Core i7,16,512,Windows,16,12
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC4IN Laptop,Samsung,13th Gen Core i7,16,512,Windows,14,12
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC5IN Laptop,Samsung,13th Gen Core i7,16,1000,Windows,14,12
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC1IN Laptop,Samsung,13th Gen Core i5,16,512,Windows,14,12
Samsung Galaxy Book 3 360 15 NP750QFG-KA2IN Laptop,Samsung,13th Gen Core i5,16,512,Windows,15.6,12
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,Windows,15.6,6
Samsung Galaxy Book 3 360 13 NP730QFG-KA1IN Laptop,Samsung,13th Gen Core i5,16,512,Windows,13.3,10
Samsung Galaxy Book 3 360 13 NP730QFG-KA3IN Laptop,Samsung,13th Gen Core i7,16,1000,Windows,13.3,10
Samsung Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop,Samsung,13th Gen Core i7,16,512,Windows,13.3,10
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA2IN Laptop,Samsung,13th Gen Core i5,16,512,Windows,16,12
Samsung Galaxy Book 3 Pro NP960XFG-KC2IN Laptop,Samsung,13th Gen Core i7,16,1000,Windows,16,12
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA1IN Laptop,Samsung,13th Gen Core i7,16,512,Windows,16,12
Samsung Galaxy Book 3 360 NP750QFG-KA1IN Laptop,Samsung,13th Gen Core i7,16,512,Windows,15.6,12
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA3IN Laptop,Samsung,13th Gen Core i7,16,1000,Windows,16,12
Lenovo IdeaPad Gaming 3 82K1017WIN Laptop,Lenovo,11th Gen Core i5,8,512,Windows,15.6,4
Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,8,256,Windows,14,2
Dell Inspiron 3525 D560789WIN9S Laptop,Dell,AMD Ryzen 5-5625U,8,512,Windows,15.6,6
Acer Aspire 3 A315-59 Laptop,Acer,12th Gen Core i3,8,512,Windows,15.6,6
Lenovo IdeaPad Gaming 3 82K201Y9IN Laptop,Lenovo,AMD Ryzen 5-5600H,8,256,Windows,15.6,6
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,Windows,14,6
HP Pavilion 15s-eq2182AU Laptop,HP,Ryzen 5 5500U,16,512,Windows,15.6,6
HP Victus 15-fa0350TX Laptop,HP,12th Gen Core i5,8,512,Windows,15.6,8
Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,Asus,AMD Ryzen 7 6800H,16,512,Windows,15.6,8
HP Victus 16-e0352AX Gaming Laptop,HP,Ryzen 5-5600H,8,512,Windows,16.1,6
Asus TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,Asus,10th Gen Core i5,8,512,Windows,15.6,4
HP Pavilion 15-eg2002TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,12
Samsung Galaxy Book2 Pro 360 15 Laptop,Samsung,12th Gen Core i7,16,512,Windows,15.6,8
Dell Vostro 3510 Laptop,Dell,11th Gen Core i3,8,256,Windows,15.6,2
Asus VivoBook K15 OLED KM513UA-L503WS Laptop,Asus,Ryzen 5 5500U,8,256,Windows,15.6,6
HP 14s-fq1092au Laptop,HP,Ryzen 5 5500U,8,512,Windows,14,6
Microsoft Surface Laptop Go 1943 THJ-00023 Laptop,Microsoft,10th Gen Core i5,8,256,Windows,12.4,4
HP 245 G8 689T3PA Laptop,HP,AMD Ryzen 3 3250U,8,512,Windows,14,2
Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,Lenovo,12th Gen Core i5,8,256,Windows,14,10
Apple MacBook Pro 16 inch Laptop,Apple,M2 Max 12-core CPU,32,1000,Mac,16.2,12
Samsung Galaxy Book 2 NP550XED-KA3IN Laptop,Samsung,12th Gen Core i7,16,512,Windows,15.6,10
Asus VivoBook 15 K513EP-BQ1093T Laptop,Asus,11th Gen Core i5,8,512,Windows,15.6,4
Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,Lenovo,11th Gen Core i5,8,512,Windows,15.6,4
Asus VivoBook 14 X415EA-EK701WS Laptop,Asus,11th Gen Core i7,16,512,Windows,14,4
Asus VivoBook 14 2022 X1402ZA-EK312WS Laptop,Asus,12th Gen Core i3,8,512,Windows,14,10
HP 247 G8 600A9PA Laptop,HP,AMD Ryzen 3 5300U,8,512,Windows,14,4
Asus Vivobook Pro 16 OLED K6602HC-N1902WS Gaming Laptop,Asus,11th Gen Core i9,16,512,Windows,16,8
Acer Swift 3 OLED SF314-71 NX.KAVSI.001 Laptop,Acer,12th Gen Core i7,16,1000,Windows,14,14
Dell Latitude 3430 Laptop,Dell,12th Gen Core i5,8,512,Windows,14,10
HP Pavilion 15-eg2018TX Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,10
Microsoft Surface Pro 9 QEZ-00065 Laptop,Microsoft,12th Gen Core i5,8,256,Windows,13,10
HP 247 G8 ‎6B5R3PA Laptop,HP,AMD Ryzen 3 5300U,8,512,DOS,14,4
HP Omen 16-n0079AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,Windows,16.1,8
Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop,Asus,12th Gen Core i5,16,512,Windows,14,12
HP 14s-dr3001TU Laptop,HP,Pentium Silver N6000,8,256,Windows,14,4
Asus VivoBook 14 X415JA-EK522WS Laptop,Asus,10th Gen Core i5,8,512,Windows,14,4
Asus Chromebook Flip C214MA-BU0704 Laptop,Asus,Celeron N4020,4,0,Chrome,11.6,2
Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN Laptop,Lenovo,12th Gen Core i5,16,512,Windows,15.6,8
Acer Predator Helios 300 PH315-55 Gaming Laptop,Acer,12th Gen Core i9,16,1000,Windows,15.6,14
Acer Extensa 15 EX215-54 Laptop,Acer,11th Gen Core i3,8,512,Windows,15.6,2
Asus ProArt StudioBook Pro 16 OLED H7600ZM-L701WS Laptop,Asus,12th Gen Core i7,16,1000,Windows,16,14
Asus VivoBook 15 X515JA-EJ382WS Laptop,Asus,10th Gen Core i3,8,512,Windows,15.6,2
MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,Windows,15.6,6
Infinix INBook X1 Neo Laptop,Infinix, Celeron N5100,4,128,Windows,14,4
Asus TUF Dash F15 2022 FX517ZC-HN108WS Gaming Laptop,Asus,12th Gen Core i7,16,1000,Windows,15.6,10
Asus VivoBook 15 X515EA-EJ522WS Laptop,Asus,11th Gen Core i5,8,512,Windows,15.6,4
Asus Vivobook 15 2022 X1502ZA-EZ311WS Touch Laptop,Asus,12th Gen Core i3,8,512,Windows,15.6,10
HP 14s-dy2507TU Laptop,HP,11th Gen Core i3,8,256,Windows,14,2
HP Pavilion 15s-fq5112TU Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,10
Asus TUF Gaming F15,Asus,2022) FX507ZE-HN038W Gaming Laptop ,16,512,Windows,15.6,14
Asus ROG Strix G17 2022 G713IE-HX040W Gaming Laptop,Asus,AMD Ryzen 7 4800H,16,1000,Windows,17.3,8
Infinix INBook X1 Neo XL22 Laptop,Infinix, Celeron N5100,8,256,Windows,14,4
Asus TUF Dash F15 2022 FX517ZC-HN083WS Gaming Laptop,Asus,12th Gen Core i5,16,512,Windows,15.6,8
Acer Nitro 5 AN515-56 Gaming Laptop,Acer,11th Gen Core i5,16,512,Windows,15.6,6
Acer Aspire 5 A515-57G Gaming Laptop,Acer,12th Gen Core i5,8,512,Windows,15.6,12
Lenovo IdeaPad Slim 1 82R1004AIN Laptop,Lenovo,AMD Ryzen 5 3500U,8,512,Windows,15.6,4
Acer Aspire 7 A715-75G NH.QGBSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,Windows,15.6,12
Lenovo IdeaPad Gaming 3 82K201ULIN Laptop,Lenovo,Ryzen 5 5600H,16,512,Windows,15.6,6
Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming Laptop,Asus,12th Gen Core i5,8,512,Windows,15.6,8
Asus Vivobook Pro 14 OLED M3400QA-KM512WS Gaming Laptop,Asus,Ryzen 5 5600H,16,512,Windows,14,6
HP Pavilion 15-eg2039TU Laptop,HP,12th Gen Core i7,16,1000,Windows,15.6,12
HP Pavilion 14-dv2041TU Laptop,HP,12th Gen Core i5,16,512,Windows,14,10
MSI Gaming Crosshair 15 B12UEZ-677IN Laptop,MSI,12th Gen Core i7,16,1000,Windows,15.6,14
Apple MacBook Pro 2022 Laptop,Apple,Apple M2,8,512,Mac,13.3,8
HP Pavilion 14-dv2015TU Laptop,HP,12th Gen Core i7,16,1000,Windows,14,10
Asus Vivobook 15 2022 X1502ZA-BQ502WS Laptop,Asus,12th Gen Core i5,8,512,Windows,15.6,12
Dell G15-5511 Gaming Laptop,Dell,11th Gen Core i5,16,512,Windows,15.6,6
Dell G15-5520 Laptop,Dell,12th Gen Core i7,16,512,Windows,15.6,14
Acer Aspire 3 A315-58 Laptop,Acer,11th Gen Core i5,8,512,Windows,15.6,4
HP Pavilion 15-EC2048AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,Windows,15.6,6
Dell Inspiron 3525 Laptop,Dell,Athlon Silver 3050U,8,256,Windows,15.6,2
Avita Satus Ultimus S111 Laptop,Avita,Celeron N4020,4,128,Windows,14.1,2
Samsung Galaxy Book Go Laptop,Samsung,Snapdragon 7c,4,0,Windows,14,0
Asus Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop,Asus,Pentium Silver N6000,4,0,Windows,13.3,4
Asus VivoBook 15 X515EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,Windows,15.6,2
Lenovo Ideapad 15ALC6 82KU017KIN Laptop,Lenovo,Ryzen 5 5500U,8,512,Windows,15.6,6
HP Pavilion 15-EC2146AX Gaming Laptop,HP,Ryzen 7 5800H,16,512,Windows,15.6,8
Infinix INBook X1 XL11 Laptop,Infinix,10th Gen Core i5,8,512,Windows,14,4
Apple MacBook Pro 14 inch MKGP3HN Laptop,Apple,M1 Pro 8-core CPU,16,512,Mac,14.2,8
HP Victus 16-e0162AX Gaming Laptop,HP,Ryzen 5 5600H,8,512,Windows,16.1,6
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i5,8,512,Windows,15.6,4
Dell Latitude 5420 Laptop,Dell,11th Gen Core i5,8,256,Windows,14,4
HP Pavilion 15-DK2100TX Gaming Laptop,HP,11th Gen Core i5,8,256,Windows,15.6,4
Dell Inspiron 5518 Laptop,Dell,11th Gen Core i5,16,512,Windows,15.6,4
Xiaomi Mi Notebook Pro 14 Laptop,Xiaomi,11th Gen Core i5,16,512,Windows,14,4
HP 15s-GR0012AU Laptop,HP,AMD Ryzen 3 3250U,8,256,Windows,15.6,2
HP EliteBook 840 G6,HP,8LX79PA) Laptop ,8,512,Windows,14,4
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,Windows,15.6,2
Asus VivoBook 15 X515EA-EJ701WS Laptop,Asus,11th Gen Core i7,16,512,Windows,15.6,4
HP 245 G8 Laptop,HP,AMD Athlon Silver 3050U,8,0,Windows,14,2
HP 15s-eq2146AU Laptop,HP,Ryzen 3 5300U,8,256,Windows,15.6,4
Lenovo V15 82KBA01TIH Laptop,Lenovo,11th Gen Core i5,8,512,Windows,15.6,4
Apple MacBook Pro M2 2022 Laptop,Apple,Apple M2,16,512,Mac,13.3,8
Lenovo V15 82KDA01UIH Laptop,Lenovo,AMD Ryzen 3 5300U,8,512,DOS,15.6,4
Lenovo Yoga 9i 83B1002GIN Laptop,Lenovo,13th Gen Core i7,16,1000,Windows,14,12
Honor MagicBook X14 Laptop,Honor,11th Gen Core i5,8,512,Windows,14,4
Chuwi CoreBook X Laptop,Chuwi,12th Gen Core i3,16,512,Windows,14,6
Dell Inspiron 15 3520 D560915WIN9S Laptop,Dell,12th Gen Core i3,8,512,Windows,15.6,6
Dell Inspiron 3520 D560866WIN9S Laptop,Dell,12th Gen Core i5,8,512,Windows,15.6,10
Lenovo V15 82KDA00YIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,DOS,15.6,6
HP 245 G8 3S7L2PA Laptop,HP,AMD Ryzen 3 3250U,4,0,Windows,14,2
Acer Aspire 3 A314-35 UN.K0SSI.040 Laptop,Acer, Pentium Silver N6005,4,256,Windows,14,4
Asus VivoBook 15 X1500EA-EJ3379WS Laptop,Asus,11th Gen Core i3,8,512,Windows,15.6,2
Lenovo V15 82KBA01KIH Laptop,Lenovo,11th Gen Core i5,8,512,DOS,15.6,4
HP 255 G8 Business Laptop,HP,Athlon 3050U,8,0,Windows,15.6,2
Lenovo E41-55 82FJ00ALIH Laptop,Lenovo,Athlon 3150U,4,0,DOS,14,2
Lenovo E41-55 82FJ00BLIH Laptop,Lenovo,Athlon 3050U,4,256,Windows,14,2
Dell Inspiron 5620 Laptop,Dell,12th Gen Core i7,16,512,Windows,16,10
Acer Aspire 7 A715-51G UN.QGCSI.002 Gaming Laptop,Acer,12th Gen Core i5,16,512,Windows,15.6,12
Asus VivoBook 14 X415EA-EK522WS Laptop,Asus,11th Gen Core i5,8,512,Windows,14,4
Dell Alienware M15 R7 Gaming Laptop,Dell,12th Gen Core i7,16,512,Windows,15.6,14
Asus Vivobook 16X M1603QA-MB512WS Laptop,Asus,Ryzen 5-5600H,16,512,Windows,16,6
Acer Extensa EX215-31 Laptop,Acer,Pentium N5030,8,256,Windows,15.6,4
Asus Vivobook 15 2022 X1502ZA-EJ514WS Laptop,Asus,12th Gen Core i5,8,512,Windows,15.6,10
Asus VivoBook 15 X1500EA-EJ522WS Laptop,Asus,11th Gen Core i5,8,512,Windows,15.6,4
Lenovo IdeaPad 3 82KU017KIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,Windows,15.6,6
Dell G15-5521 D560897WIN9S Gaming Laptop,Dell,12th Gen Core i9,16,1000,Windows,15.6,14
Dell Inspiron 5420 Laptop,Dell,12th Gen Core i7,16,512,Windows,14,10
HP 255 G8 6X4B2PA Laptop,HP,AMD Athlon 3050,4,256,DOS,15.6,2
Asus Vivobook 15 OLED X1505ZA-L1511WS Laptop,Asus,12th Gen Core i5,16,512,Windows,15.6,10
Microsoft Surface Laptop 5 13.5 inch,Microsoft,12th Gen Core i5,8,256,Windows,13.5,10
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i3,8,256,Windows,15.6,2
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i7,16,512,Windows,15.6,4
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i5,8,512,Windows,15.6,4
Honor MagicBook 14 M-WFQ9AHNE Laptop,Honor,AMD Ryzen 5 5500U,16,512,Windows,14,6
HP Victus 15-fa0092TX Laptop,HP,12th Gen Core i5,16,512,Windows,15.6,8
HP ProBook 440 G8 Laptop,HP,11th Gen Core i5,8,512,Windows,14,4
Lenovo Legion 5 82RB00K8IN Laptop,Lenovo,12th Gen Core i7,16,1000,Windows,15.6,14
Dell Inspiron 3520 D560879WIN9S Laptop,Dell,12th Gen Core i5,16,512,Windows,15.6,10
HP Omen 16-n0091AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,Windows,16.1,8
MSI Modern 15 B12M-202IN Laptop,MSI,12th Gen Core i5,8,512,Windows,15.6,10
Lenovo Legion 5 Pro 16IAH7H 82RF00DYIN Gaming Laptop,Lenovo,12th Gen Core i7,16,1000,Windows,16,14
Asus Vivobook Pro 15 OLED M3500QC-L1461WS Gaming Laptop,Asus,AMD Ryzen 5 5600H,16,512,Windows,15.6,6
Lenovo V15 82C3001VSP Laptop,Lenovo,Celeron N4020,4,256,Windows,15.6,2
Dell Inspiron 5320 Laptop,Dell,12th Gen Core i5,16,512,Windows,13.3,12
Asus TUF Gaming A15 2022 FA506QM-HN008W Gaming Laptop,Asus,AMD Ryzen 7 5800H,16,512,Windows,15.6,8
Lenovo E41-55 AMD Laptop,Lenovo,Athlon Pro 3045B,8,0,Windows,14,2
Asus VivoBook 14 2022 X1402ZA-EK391WS Laptop,Asus,12th Gen Core i3,8,256,Windows,14,10
Lenovo IdeaPad 3 82KU00LQIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,Windows,15.6,6
Lenovo V15 G2-ITL Business Laptop,Lenovo,11th Gen Core i5,8,512,Windows,15.6,4
Lenovo IdeaPad Gaming 3 82K1019BIN Laptop,Lenovo,11th Gen Core i5,16,512,Windows,15.6,4
MSI Gaming Katana GF76 11SC-847IN Laptop,MSI,11th Gen Core i5,8,512,Windows,15.6,6
MSI Katana GF66 12UD-640IN Gaming Laptop,MSI,12th Gen Core i5,16,512,Windows,15.6,8
MSI Thin GF63 12HW-004IN Gaming Laptop,MSI,12th Gen Core i5,8,512,Windows,15.6,12
Lenovo IdeaPad Gaming 3 82SA00B2IN Laptop,Lenovo,12th Gen Core i7,16,512,Windows,16,14
Lenovo IdeaPad Slim 5 82LN00JSIN Laptop,Lenovo,Ryzen 7 5700U,16,512,Windows,15.6,8
MSI Pulse GL66 12UEK-898IN Gaming Laptop,MSI,12th Gen Core i9,16,1000,Windows,15.6,14
Chuwi HeroBook Air Laptop,Chuwi,Intel Celeron N4020,4,128,Windows,14.1,2
MSI Vector GP66 12UEO-646IN Gaming Laptop,MSI,12th Gen Core i7,16,1000,Windows,15.6,14
Lenovo IdeaPad Slim 3 81X800LCIN Laptop,Lenovo,11th Gen Core i3,8,256,Windows,15.6,2
MSI Modern 14 B5M-242IN Laptop,MSI,Ryzen 5 5500U,8,512,Windows,14,6
HP Envy x360 13-bf0059TU Laptop,HP,12th Gen Core i7,16,512,Windows,13.3,10
Asus ZenBook Pro Duo 14 OLED 2022 UX8402ZE-M711WS Laptop,Asus,12th Gen Core i7,16,1000,Windows,14.5,14
Dell Vostro 3425 D552305WIN9BE Laptop,Dell,AMD Ryzen 3 5425U,8,256,Windows,14,4
Lenovo Ideapad Slim 3 82H802KVIN Laptop,Lenovo,11th Gen Core i5,8,512,Windows,15.6,4
Dell Vostro 3425 D552309WIN9BE Laptop,Dell,AMD Ryzen 3 5425U,8,512,Windows,14,4
Acer Extensa EX215-54 NX.EGJSI.00N Laptop,Acer,11th Gen Core i5,8,512,Windows,15.6,4
HP Pavilion 15s-FR5007TU Laptop,HP,12th Gen Core i5,8,512,Windows,15.6,10
Lenovo Ideapad Slim 3i 81WQ00NXIN Laptop,Lenovo,Intel Celeron N4020,8,256,Windows,15.6,2
Asus Vivobook 15 2022 X1502ZA-EJ302WS Laptop,Asus,12th Gen Core i3,8,256,Windows,15.6,10
HP 15s-ey1508AU Laptop,HP,AMD Ryzen 3 3250U,8,256,Windows,15.6,2
MSI Thin GF63 11UC-866IN Gaming Laptop,MSI,11th Gen Core i7,8,512,Windows,15.6,8
Asus Vivobook Pro 15 OLED M6500IH-L1701WS Laptop,Asus,Ryzen 7-4800H,16,512,Windows,15.6,8
Lenovo IdeaPad Slim 3 82KU017EIN Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,Windows,15.6,6
Lenovo Ideapad Gaming 3 82K201UKIN Laptop,Lenovo,Ryzen 7 5800H,8,512,Windows,15.6,8
Lenovo IdeaPad 3 14ITL6 82H701DYIN Laptop,Lenovo,11th Gen Core i3,8,512,Windows,14,2
Dell Latitude 5320 Business Laptop,Dell,11th Gen Core i5,8,512,Windows,13.3,4
MSI Thin GF63 11UC-867IN Gaming Laptop,MSI,11th Gen Core i5,8,512,Windows,15.6,6
HP 15s-fr2514TU Laptop,HP,11th Gen Core i3,8,256,Windows,15.6,2
Asus Zenbook Flip 14 OLED UP5401ZA-KN501WS Laptop,Asus,12th Gen Core i5,16,512,Windows,14,12
Acer Aspire 3 A315-23 UN.HVTSI.013 Laptop,Acer,Ryzen 3 3250U,8,256,Windows,15.6,2
HP 15s-dr3506TU Laptop,HP,11th Gen Core i3,8,256,Windows,15.6,2
HP 14s-fq0568AU Laptop,HP,AMD Athlon 3050U,8,256,Windows,14,2
HP 15s-du3614TU Laptop,HP,11th Gen Core i3,8,256,Windows,15.6,2
HP 15s-eq1560AU Laptop,HP,AMD Ryzen 3 3250U,8,512,Windows,15.6,2
Dell Inspiron 3525 Laptop,Dell,AMD Ryzen3 5425U,8,512,Windows,15.6,4
Lenovo IdeaPad Gaming 3 82K10198IN Laptop,Lenovo,11th Gen Core i5,8,512,Windows,15.6,4
